asset_id,plant_id,line_id,cell_id,asset_type,manufacturer,model_number,serial_number,installation_date,asset_age_years,design_life_years,life_consumed_pct,criticality_class,iso_protection_class,atex_zone,last_maintenance_date,maintenance_interval_days,days_since_maintenance,cumulative_operating_hours,nominal_speed_rpm,rated_power_kw,bearing_model,lubricant_type,protocol,gateway_id
ASSET-CNC-0001,PLANT-008,LINE-E,CELL-014,cnc_machining_center,KSB,SCH-2152-84,SN-20200127-50534,2020-01-27,6.21,15,41.4,important_production,IP54,zone_22,2026-02-06,90,62,46448.0,1583.0,97.7,NU205,oil_mineral_iso_vg46,IO_Link,GW-110
ASSET-PUM-0002,PLANT-008,LINE-E,CELL-007,pump_centrifugal,ABB,NID-5010-89,SN-20180726-71012,2018-07-26,7.71,15,51.4,critical_production,IP66,non_hazardous,2026-04-04,90,5,45887.0,2691.0,317.7,6205,oil_mineral_iso_vg46,Profibus,GW-031
ASSET-CNC-0003,PLANT-008,LINE-B,CELL-009,cnc_machining_center,ABB,SUL-5280-39,SN-20160205-30421,2016-02-05,10.18,15,67.9,general_purpose,IP67,non_hazardous,2026-03-21,60,19,81124.0,4760.0,49.6,NU205,oil_mineral_iso_vg100,HART,GW-020
ASSET-CON-0004,PLANT-002,LINE-E,CELL-004,conveyor_belt,Bosch Rexroth,SIE-8170-80,SN-20150426-80232,2015-04-26,10.96,15,73.1,general_purpose,IP66,non_hazardous,2026-03-17,60,23,76871.0,122.0,136.8,6206,oil_mineral_iso_vg220,Profibus,GW-114
ASSET-PUM-0005,PLANT-006,LINE-D,CELL-011,pump_centrifugal,WEG,ABB-6032-80,SN-20240414-37355,2024-04-14,1.99,15,13.3,critical_production,IP55,non_hazardous,2026-02-26,90,42,12706.0,2298.0,383.7,6206,grease_polyurea,Modbus_TCP,GW-199
ASSET-PUM-0006,PLANT-006,LINE-D,CELL-015,pump_centrifugal,Nidec,MIT-4682-46,SN-20250105-47615,2025-01-05,1.26,15,8.4,critical_production,IP67,non_hazardous,2026-02-18,365,50,7636.0,1890.0,332.6,6205,grease_lithium,IO_Link,GW-145
ASSET-COM-0007,PLANT-002,LINE-C,CELL-005,compressor_screw,Fanuc,SUL-6671-64,SN-20221214-42562,2022-12-14,3.32,20,16.6,critical_production,IP55,non_hazardous,2026-03-13,365,27,27567.0,2962.0,186.8,6206,oil_mineral_iso_vg46,EtherNet_IP,GW-100
ASSET-MOT-0008,PLANT-003,LINE-A,CELL-002,motor_induction,Emerson,PAR-2148-50,SN-20081027-73362,2008-10-27,17.46,20,87.3,important_production,IP55,zone_21,2025-11-20,180,140,109856.0,2363.0,899.8,6206,oil_mineral_iso_vg100,Profibus,GW-172
ASSET-CNC-0009,PLANT-007,LINE-A,CELL-015,cnc_machining_center,Emerson,KSB-1374-25,SN-20160604-54458,2016-06-04,9.85,15,65.7,important_production,IP66,non_hazardous,2025-12-18,180,112,60145.0,7217.0,66.7,6305,grease_polyurea,HART,GW-159
ASSET-GEA-0010,PLANT-010,LINE-C,CELL-010,gearbox,Schneider Electric,KSB-1584-17,SN-20150811-34825,2015-08-11,10.67,20,53.3,important_production,IP65,non_hazardous,2026-03-30,30,10,77889.0,1814.0,123.8,6205,oil_synthetic_pao,Profibus,GW-095
ASSET-MOT-0011,PLANT-001,LINE-F,CELL-011,motor_induction,Grundfos,FAN-5985-38,SN-20191222-19771,2019-12-22,6.3,20,31.5,general_purpose,IP54,non_hazardous,2026-03-01,90,39,47425.0,799.0,1652.9,6206,oil_mineral_iso_vg220,IO_Link,GW-188
ASSET-PUM-0012,PLANT-004,LINE-B,CELL-016,pump_centrifugal,Emerson,BOS-9667-38,SN-20131115-28246,2013-11-15,12.41,15,82.7,important_production,IP67,zone_1,2026-02-27,180,41,80578.0,1506.0,279.7,6206,oil_mineral_iso_vg100,EtherNet_IP,GW-188
